s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 1.6653345E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4092323E-002, 0.0000000E+000, 0.0000000E+000,-3.4243025E-007, 6.1696197E-004, 0.0000000E+000,-3.5819901E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5842053E-004, 0.0000000E+000, 7.3920000E-005, 0.0000000E+000
 1.1040734E-001, 1.1964387E+000, 0.0000000E+000,-4.9253483E-006, 2.0771074E-002,-1.2271651E-005,-5.2056459E-004, 0.0000000E+000, 0.0000000E+000, 4.9020347E-002, 1.2166720E+000,-2.5333883E+000, 1.2096000E-004, 0.0000000E+000
 1.5046076E-001, 1.3621365E+000, 0.0000000E+000,-3.0098319E-002, 2.1291760E-002,-7.8456606E-004,-7.1329281E-004, 0.0000000E+000, 0.0000000E+000, 1.2729754E+000, 1.3518321E+000,-4.3523904E+000, 1.6800000E-004, 0.0000000E+000
 1.8589936E-001, 3.9276538E+000, 0.0000000E+000,-6.2369167E-002, 6.3461606E-002,-1.9140133E-003,-8.4961447E-004, 0.0000000E+000, 0.0000000E+000, 1.4203956E+000, 3.9259826E+000,-5.9108847E+000, 2.0832000E-004, 0.0000000E+000
 2.2133796E-001, 3.4117468E+000, 0.0000000E+000,-1.3394572E-001, 4.8930695E-002,-5.3304676E-003,-1.1205759E-003, 0.0000000E+000, 0.0000000E+000, 3.9943532E+000, 3.3202807E+000,-7.2745134E+000, 2.4864000E-004, 0.0000000E+000
 2.5066367E-001, 9.1911661E+000, 0.0000000E+000,-2.4750532E-001, 1.4431075E-001,-8.2846602E-003,-1.1864818E-003, 0.0000000E+000, 0.0000000E+000, 3.4083860E+000, 9.0785004E+000,-8.6204987E+000, 2.8224000E-004, 0.0000000E+000
 2.7998939E-001, 8.5101964E+000, 0.0000000E+000,-4.2247355E-001, 1.2523996E-001,-1.6543236E-002,-1.5963373E-003, 0.0000000E+000, 0.0000000E+000, 9.1663445E+000, 8.1948232E+000,-9.7188498E+000, 3.1584000E-004, 0.0000000E+000
 3.0931509E-001, 1.4993191E+001, 0.0000000E+000,-6.9801965E-001, 2.2696509E-001,-2.4386157E-002,-1.6847796E-003, 0.0000000E+000, 0.0000000E+000, 8.3061429E+000, 1.4496066E+001,-1.0801499E+001, 3.4944000E-004, 0.0000000E+000
 3.3459681E-001, 1.5197900E+001, 0.0000000E+000,-1.0412376E+000, 2.1960027E-001,-3.7517115E-002,-1.9774016E-003, 0.0000000E+000, 0.0000000E+000, 1.4589943E+001, 1.4336768E+001,-1.1866960E+001, 3.7632000E-004,-9.9291185E-029
 3.5987851E-001, 1.7577957E+001, 0.0000000E+000,-1.6099645E+000, 2.4472144E-001,-4.9540153E-002,-1.9820145E-003, 0.0000000E+000, 0.0000000E+000, 1.4451378E+001, 1.6161192E+001,-1.2770638E+001, 4.0320000E-004,-3.7419240E-027
 3.8516021E-001, 1.9836998E+001, 0.0000000E+000,-2.5228889E+000, 2.6104588E-001,-6.2613323E-002,-2.0728121E-003, 0.0000000E+000, 0.0000000E+000, 1.6281709E+001, 1.7510469E+001,-1.3659694E+001, 4.3008000E-004,-5.8647397E-026
 4.0778753E-001, 2.2644948E+001, 0.0000000E+000,-3.6868953E+000, 2.8271132E-001,-7.4676773E-002,-2.0685825E-003, 0.0000000E+000, 0.0000000E+000, 1.7650003E+001, 1.9164018E+001,-1.4533372E+001, 4.5696000E-004,-5.8072882E-025
 4.3041486E-001, 2.4713958E+001, 0.0000000E+000,-5.3346850E+000, 2.8311298E-001,-8.6480959E-002,-2.2082947E-003, 0.0000000E+000, 0.0000000E+000, 1.9324981E+001, 1.9573697E+001,-1.5301713E+001, 4.8384000E-004,-3.7070982E-024
 4.5304218E-001, 2.6191043E+001, 0.0000000E+000,-7.5944406E+000, 2.6442620E-001,-9.6409024E-002,-2.0875291E-003, 0.0000000E+000, 0.0000000E+000, 1.9728093E+001, 1.8762532E+001,-1.6056727E+001, 5.1072000E-004,-1.5521475E-023
 4.7566950E-001, 2.7503148E+001, 0.0000000E+000,-9.4227644E+000, 2.4892991E-001,-1.0479096E-001,-2.0247413E-003, 0.0000000E+000, 0.0000000E+000, 1.8946624E+001, 1.8222498E+001,-1.6798007E+001, 5.3088000E-004,-5.0812929E-023
 4.9829683E-001, 2.8917188E+001, 0.0000000E+000,-1.1299251E+001, 2.3559012E-001,-1.1039208E-001,-2.1356759E-003, 0.0000000E+000, 0.0000000E+000, 1.8428872E+001, 1.7740999E+001,-1.7525188E+001, 5.5776000E-004,-1.4898249E-022
 5.1846701E-001, 2.9860067E+001, 0.0000000E+000,-1.2442618E+001, 2.2816852E-001,-1.1411449E-001,-2.2159979E-003, 0.0000000E+000, 0.0000000E+000, 1.7904609E+001, 1.7529288E+001,-1.8237936E+001, 5.7792000E-004,-3.8259909E-022
 5.5880731E-001, 2.7893456E+001, 0.0000000E+000,-1.1719693E+001, 1.9897363E-001,-1.1891693E-001,-2.4274995E-003, 0.0000000E+000, 0.0000000E+000, 1.7232146E+001, 1.6251392E+001,-1.9166443E+001, 6.1488000E-004,-1.5899103E-021
 5.7897747E-001, 2.6168782E+001, 0.0000000E+000,-1.0408003E+001, 1.7874719E-001,-1.2284184E-001,-2.6277807E-003, 0.0000000E+000, 0.0000000E+000, 1.5916687E+001, 1.5814057E+001,-2.0071074E+001, 6.4512000E-004,-4.9522521E-021
 6.1931783E-001, 2.5799567E+001, 0.0000000E+000,-8.5049276E+000, 1.8678265E-001,-1.3171233E-001,-2.6231273E-003, 0.0000000E+000, 0.0000000E+000, 1.6505721E+001, 1.7347086E+001,-2.0945386E+001, 6.8208000E-004,-1.5207719E-020
 6.3948798E-001, 2.6518163E+001, 0.0000000E+000,-7.3244497E+000, 1.9751154E-001,-1.4628784E-001,-2.6454905E-003, 0.0000000E+000, 0.0000000E+000, 1.7893689E+001, 1.9242291E+001,-2.1795158E+001, 7.1904000E-004,-3.6944115E-020
