s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 2.2204460E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4674355E-002, 0.0000000E+000, 0.0000000E+000,-4.2765936E-007, 4.9409923E-004, 0.0000000E+000,-8.2477220E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1119435E-004, 0.0000000E+000, 7.3920000E-005, 0.0000000E+000
 1.0940525E-001, 6.6016285E-001, 0.0000000E+000,-7.3931938E-006, 1.1259775E-002,-1.5617907E-005,-1.2476727E-004, 0.0000000E+000, 0.0000000E+000, 7.7120542E-002, 6.7127485E-001,-3.4084409E+000, 1.2096000E-004, 0.0000000E+000
 1.4909376E-001, 1.0006157E+000, 0.0000000E+000,-2.0144525E-002, 1.4249076E-002,-3.4590702E-004,-1.6503995E-004, 0.0000000E+000, 0.0000000E+000, 7.6422321E-001, 9.9420933E-001,-5.7509358E+000, 1.6800000E-004, 0.0000000E+000
 1.8396600E-001, 2.2156901E+000, 0.0000000E+000,-5.1303481E-002, 3.2912220E-002,-9.5272466E-004,-1.9765466E-004, 0.0000000E+000, 0.0000000E+000, 1.1028999E+000, 2.1961484E+000,-7.8106301E+000, 2.0832000E-004, 0.0000000E+000
 2.1883823E-001, 2.2855018E+000, 0.0000000E+000,-9.6333667E-002, 2.7240380E-002,-2.4241604E-003,-2.3043294E-004, 0.0000000E+000, 0.0000000E+000, 2.3207265E+000, 2.2137539E+000,-9.6007290E+000, 2.4192000E-004, 0.0000000E+000
 2.4778205E-001, 4.8294213E+000, 0.0000000E+000,-1.8156570E-001, 7.0221221E-002,-3.9496933E-003,-2.5557013E-004, 0.0000000E+000, 0.0000000E+000, 2.3532972E+000, 4.7138716E+000,-1.1368264E+001, 2.7552000E-004, 0.0000000E+000
 2.7672586E-001, 3.1991027E+000, 0.0000000E+000,-2.6492122E-001, 2.8627052E-002,-7.1714060E-003,-2.9898890E-004, 0.0000000E+000, 0.0000000E+000, 4.8434649E+000, 2.9553381E+000,-1.2815457E+001, 3.0912000E-004, 0.0000000E+000
 3.0566970E-001, 1.0365572E+001, 0.0000000E+000,-4.0219360E-001, 1.5162305E-001,-9.5159028E-003,-3.1531531E-004, 0.0000000E+000, 0.0000000E+000, 3.1376583E+000, 1.0105170E+001,-1.4242452E+001, 3.4272000E-004, 0.0000000E+000
 3.3055359E-001, 8.1473682E+000, 0.0000000E+000,-6.1655897E-001, 1.0041687E-001,-1.6625367E-002,-4.0682047E-004, 0.0000000E+000, 0.0000000E+000, 1.0267113E+001, 7.6141939E+000,-1.5647330E+001, 3.6960000E-004, 0.0000000E+000
 3.5543749E-001, 1.1217952E+001, 0.0000000E+000,-8.6100495E-001, 1.4565735E-001,-2.2366733E-002,-4.1476571E-004, 0.0000000E+000, 0.0000000E+000, 7.8215221E+000, 1.0479823E+001,-1.6836101E+001, 3.9648000E-004, 0.0000000E+000
 3.8032138E-001, 1.0782949E+001, 0.0000000E+000,-1.1249556E+000, 1.2407107E-001,-3.0760009E-002,-4.4967667E-004, 0.0000000E+000, 0.0000000E+000, 1.0670424E+001, 9.7508549E+000,-1.8006148E+001, 4.2336000E-004, 0.0000000E+000
 4.0259287E-001, 1.2955177E+001, 0.0000000E+000,-1.3752021E+000, 1.5366211E-001,-3.8196085E-002,-4.4446128E-004, 0.0000000E+000, 0.0000000E+000, 9.9855943E+000, 1.1694997E+001,-1.9156498E+001, 4.5024000E-004,-1.2881584E-033
 4.2486435E-001, 1.2557106E+001, 0.0000000E+000,-1.7450878E+000, 1.3015765E-001,-4.7124636E-002,-4.8245394E-004, 0.0000000E+000, 0.0000000E+000, 1.1904709E+001, 1.0894568E+001,-2.0168640E+001, 4.7712000E-004,-6.1373120E-031
 4.4713584E-001, 1.5921996E+001, 0.0000000E+000,-2.2424255E+000, 1.7471019E-001,-5.5329480E-002,-4.9333145E-004, 0.0000000E+000, 0.0000000E+000, 1.1195768E+001, 1.3798458E+001,-2.1163700E+001, 5.0400000E-004,-2.1172279E-029
 4.6940732E-001, 1.5783106E+001, 0.0000000E+000,-2.8555044E+000, 1.5322433E-001,-6.6115956E-002,-5.3369999E-004, 0.0000000E+000, 0.0000000E+000, 1.4044220E+001, 1.3014176E+001,-2.2141144E+001, 5.2416000E-004,-2.7094807E-028
 4.9167880E-001, 1.7440574E+001, 0.0000000E+000,-3.6753163E+000, 1.5986861E-001,-7.5368271E-002,-5.4034229E-004, 0.0000000E+000, 0.0000000E+000, 1.3328281E+001, 1.3849217E+001,-2.3100492E+001, 5.5104000E-004,-2.0441298E-027
 5.1140684E-001, 1.7873901E+001, 0.0000000E+000,-4.6788736E+000, 1.4134702E-001,-8.3900986E-002,-5.5046315E-004, 0.0000000E+000, 0.0000000E+000, 1.4140163E+001, 1.3251923E+001,-2.4041316E+001, 5.7120000E-004,-9.8046332E-027
 5.5086303E-001, 1.9145811E+001, 0.0000000E+000,-6.1153231E+000, 1.2820007E-001,-9.4356912E-002,-5.8342778E-004, 0.0000000E+000, 0.0000000E+000, 1.3813254E+001, 1.3063747E+001,-2.5260203E+001, 6.0816000E-004,-9.0444205E-026
 5.7059109E-001, 1.9538103E+001, 0.0000000E+000,-7.6817975E+000, 9.8139914E-002,-1.0218626E-001,-6.0754802E-004, 0.0000000E+000, 0.0000000E+000, 1.2792157E+001, 1.1851652E+001,-2.6448782E+001, 6.3840000E-004,-4.5619939E-025
 6.1004722E-001, 1.9265539E+001, 0.0000000E+000,-8.3300556E+000, 7.1308861E-002,-1.0593307E-001,-6.2510028E-004, 0.0000000E+000, 0.0000000E+000, 1.1829017E+001, 1.0900234E+001,-2.7598838E+001, 6.7200000E-004,-2.5148613E-024
 6.4950341E-001, 1.8723240E+001, 0.0000000E+000,-8.1378766E+000, 4.9503215E-002,-1.0709587E-001,-6.6734308E-004, 0.0000000E+000, 0.0000000E+000, 1.0776882E+001, 1.0527104E+001,-2.9080158E+001, 7.1568000E-004,-1.6589847E-023
 6.6923147E-001, 1.7714334E+001, 0.0000000E+000,-7.2863242E+000, 3.2729215E-002,-1.0683036E-001,-7.0354150E-004, 0.0000000E+000, 0.0000000E+000, 1.0972491E+001, 1.0353205E+001,-3.0151794E+001, 7.5264000E-004,-5.6810045E-023
 7.0454425E-001, 1.7547750E+001, 0.0000000E+000,-6.3691115E+000, 2.9397525E-002,-1.0762156E-001,-7.3441357E-004, 0.0000000E+000, 0.0000000E+000, 1.0836123E+001, 1.1099680E+001,-3.1148715E+001, 7.7616000E-004,-1.8924645E-022
 7.2220063E-001, 1.7893016E+001, 0.0000000E+000,-5.6207471E+000, 3.0720888E-002,-1.1164637E-001,-7.5773824E-004, 0.0000000E+000, 0.0000000E+000, 1.1793423E+001, 1.2190586E+001,-3.2046777E+001, 8.0640000E-004,-5.2066278E-022
 7.5751346E-001, 1.8673468E+001, 0.0000000E+000,-5.1818785E+000, 3.2974071E-002,-1.2116084E-001,-7.5975537E-004, 0.0000000E+000, 0.0000000E+000, 1.2870273E+001, 1.3402643E+001,-3.2913309E+001, 8.3664000E-004,-1.4985401E-021
 7.9282624E-001, 2.1068746E+001, 0.0000000E+000,-5.0462333E+000, 4.8176932E-002,-1.3927999E-001,-7.5321131E-004, 0.0000000E+000, 0.0000000E+000, 1.4894107E+001, 1.5930656E+001,-3.4026947E+001, 8.7696000E-004,-5.1357802E-021
 8.1048262E-001, 2.3710913E+001, 0.0000000E+000,-5.2387838E+000, 6.6829784E-002,-1.5665835E-001,-7.5994436E-004, 0.0000000E+000, 0.0000000E+000, 1.7142899E+001, 1.8381541E+001,-3.4831139E+001, 9.0720000E-004,-1.1594538E-020
 8.4579545E-001, 2.7491524E+001, 0.0000000E+000,-6.0378444E+000, 9.3769415E-002,-1.7660348E-001,-7.8732853E-004, 0.0000000E+000, 0.0000000E+000, 2.0009449E+001, 2.1370058E+001,-3.5604693E+001, 9.3744000E-004,-2.6300010E-020
 8.8110822E-001, 3.1746955E+001, 0.0000000E+000,-8.3225127E+000, 9.4663751E-002,-2.0055873E-001,-7.9899225E-004, 0.0000000E+000, 0.0000000E+000, 2.3405745E+001, 2.3317748E+001,-3.6595886E+001, 9.7776000E-004,-6.8299050E-020
 9.1435081E-001, 3.4076877E+001, 0.0000000E+000,-1.0879743E+001, 6.4790527E-002,-2.1710258E-001,-7.9660189E-004, 0.0000000E+000, 0.0000000E+000, 2.3730277E+001, 2.3044026E+001,-3.7525378E+001, 1.0143015E-003,-1.5410802E-019
 9.4552308E-001, 3.4096676E+001, 0.0000000E+000,-1.2747301E+001, 8.6984052E-003,-2.2843454E-001,-8.3369468E-004, 0.0000000E+000, 0.0000000E+000, 2.2880689E+001, 2.1128805E+001,-3.8360493E+001, 1.0516800E-003,-3.0466678E-019
 9.6110928E-001, 3.2541543E+001, 0.0000000E+000,-1.2686110E+001,-2.9023026E-002,-2.3437203E-001,-8.6907322E-004, 0.0000000E+000, 0.0000000E+000, 2.0422649E+001, 1.9591169E+001,-3.8933574E+001, 1.0752000E-003,-4.7400228E-019
 9.9228162E-001, 2.9593223E+001, 0.0000000E+000,-1.1278036E+001,-7.8720239E-002,-2.4033028E-001,-9.2337576E-004, 0.0000000E+000, 0.0000000E+000, 1.9057087E+001, 1.7995213E+001,-3.9485100E+001, 1.1020800E-003,-7.1748472E-019
 1.0234540E+000, 2.8414922E+001, 0.0000000E+000,-9.0325268E+000,-9.9344096E-002,-2.5110918E-001,-9.8479708E-004, 0.0000000E+000, 0.0000000E+000, 1.8570851E+001, 1.9030957E+001,-4.0192412E+001, 1.1390400E-003,-1.1605587E-018
 1.0507214E+000, 2.9795666E+001, 0.0000000E+000,-7.7855284E+000,-9.2626846E-002,-2.7052837E-001,-9.8481413E-004, 0.0000000E+000, 0.0000000E+000, 2.0610466E+001, 2.1645997E+001,-4.0846513E+001, 1.1692800E-003,-1.7022380E-018
