s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 1.6653345E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4922110E-002, 0.0000000E+000, 0.0000000E+000,-3.4243025E-007,-2.7773346E-005, 0.0000000E+000,-2.7885587E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0697165E-004, 0.0000000E+000, 1.0752000E-004, 0.0000000E+000
 1.4774911E-001, 1.6449798E+000, 0.0000000E+000,-4.7616537E-006, 3.0254822E-002,-1.1338785E-005,-4.0574198E-004, 0.0000000E+000, 0.0000000E+000, 4.0695189E-002, 1.6748128E+000,-2.3615427E+000, 1.6800000E-004, 0.0000000E+000
 1.9809759E-001, 1.5270853E+000, 0.0000000E+000,-3.1428831E-002, 2.1357706E-002,-1.1643782E-003,-5.4362305E-004, 0.0000000E+000, 0.0000000E+000, 1.7186302E+000, 1.5153061E+000,-3.6602475E+000, 2.2176000E-004, 0.0000000E+000
 2.4195550E-001, 6.3132928E+000, 0.0000000E+000,-9.3619440E-002, 1.0579455E-001,-2.5388737E-003,-6.3674652E-004, 0.0000000E+000, 0.0000000E+000, 1.5726917E+000, 6.3222923E+000,-4.8795426E+000, 2.6880000E-004, 0.0000000E+000
 2.8581342E-001, 5.2017217E+000, 0.0000000E+000,-2.4215363E-001, 7.5381862E-002,-8.2937585E-003,-8.5445783E-004, 0.0000000E+000, 0.0000000E+000, 6.3737816E+000, 5.0258018E+000,-5.9224807E+000, 3.2256000E-004, 0.0000000E+000
 3.2282609E-001, 1.0201837E+001, 0.0000000E+000,-3.7424711E-001, 1.6132352E-001,-1.3078419E-002,-8.8976942E-004, 0.0000000E+000, 0.0000000E+000, 5.1067026E+000, 9.9749457E+000,-6.9439415E+000, 3.6288000E-004, 0.0000000E+000
 3.5983872E-001, 9.8890142E+000, 0.0000000E+000,-6.9160328E-001, 1.4212516E-001,-2.2636923E-002,-1.0499804E-003, 0.0000000E+000, 0.0000000E+000, 1.0025668E+001, 9.3158492E+000,-7.7869373E+000, 4.0320000E-004, 0.0000000E+000
 3.9685139E-001, 1.9192840E+001, 0.0000000E+000,-1.1092997E+000, 2.9356756E-001,-3.1633997E-002,-1.1168960E-003, 0.0000000E+000, 0.0000000E+000, 9.5020834E+000, 1.8344357E+001,-8.6106890E+000, 4.4352000E-004, 0.0000000E+000
 4.2903155E-001, 1.7677085E+001, 0.0000000E+000,-2.3475170E+000, 2.3674293E-001,-4.8850395E-002,-1.2860499E-003, 0.0000000E+000, 0.0000000E+000, 1.8335544E+001, 1.5516174E+001,-9.4136720E+000, 4.8384000E-004,-2.7099365E-030
 4.6121171E-001, 2.1928830E+001, 0.0000000E+000,-4.0757385E+000, 2.7499841E-001,-6.0855734E-002,-1.2714047E-003, 0.0000000E+000, 0.0000000E+000, 1.5705164E+001, 1.8065963E+001,-1.0093892E+001, 5.1744000E-004,-7.6638919E-027
 4.9339187E-001, 2.3815518E+001, 0.0000000E+000,-7.3440545E+000, 2.4582856E-001,-7.5274996E-002,-1.3257062E-003, 0.0000000E+000, 0.0000000E+000, 1.8230902E+001, 1.6640691E+001,-1.0756634E+001, 5.5104000E-004,-2.3368324E-025
 5.2557206E-001, 2.7447706E+001, 0.0000000E+000,-1.1218722E+001, 2.3943528E-001,-8.5796740E-002,-1.3632471E-003, 0.0000000E+000, 0.0000000E+000, 1.6924390E+001, 1.6381259E+001,-1.1401246E+001, 5.9136000E-004,-2.4059361E-024
 5.5392224E-001, 2.9926933E+001, 0.0000000E+000,-1.5003830E+001, 2.1267770E-001,-9.4127233E-002,-1.4403037E-003, 0.0000000E+000, 0.0000000E+000, 1.6674288E+001, 1.5040212E+001,-1.2027182E+001, 6.1824000E-004,-1.0639234E-023
 5.8227247E-001, 3.3030304E+001, 0.0000000E+000,-1.8404896E+001, 2.0680257E-001,-9.9234820E-002,-1.5487891E-003, 0.0000000E+000, 0.0000000E+000, 1.5487539E+001, 1.4731427E+001,-1.2562791E+001, 6.5184000E-004,-3.3327640E-023
