s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005,-4.4408921E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9095337E-002, 0.0000000E+000, 0.0000000E+000,-2.2966302E-007,-6.9352351E-005, 0.0000000E+000,-1.8225365E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5183566E-004, 0.0000000E+000, 1.1424000E-004, 0.0000000E+000
 1.7618960E-001, 1.5124568E+000, 0.0000000E+000,-2.5917283E-006, 2.6916336E-002,-6.6089796E-006,-2.7463254E-004, 0.0000000E+000, 0.0000000E+000, 1.4770245E-002, 1.5390893E+000,-1.1331976E+000, 1.9488000E-004, 0.0000000E+000
 2.3913763E-001, 1.4020320E+000, 0.0000000E+000,-3.6409364E-002, 2.0582940E-002,-1.4827523E-003,-3.7617981E-004, 0.0000000E+000, 0.0000000E+000, 1.5425173E+000, 1.3843466E+000,-2.0007328E+000, 2.6880000E-004, 0.0000000E+000
 2.9459324E-001, 5.9121739E+000, 0.0000000E+000,-1.1472560E-001, 1.0338589E-001,-3.2684102E-003,-4.3799633E-004, 0.0000000E+000, 0.0000000E+000, 1.4060712E+000, 5.8971278E+000,-2.6924534E+000, 3.2928000E-004, 0.0000000E+000
 3.5004884E-001, 2.7018223E+000, 0.0000000E+000,-2.2235177E-001, 3.6214146E-002,-1.0811167E-002,-6.0147727E-004, 0.0000000E+000, 0.0000000E+000, 5.8083981E+000, 2.5042721E+000,-3.2853193E+000, 3.8976000E-004, 0.0000000E+000
 3.9687973E-001, 8.7423351E+000, 0.0000000E+000,-3.7039578E-001, 1.4098118E-001,-1.4747714E-002,-5.7568067E-004, 0.0000000E+000, 0.0000000E+000, 2.5435094E+000, 8.4975971E+000,-3.8596677E+000, 4.4352000E-004,-1.3015317E-026
 4.4371063E-001, 5.8816909E+000, 0.0000000E+000,-6.8535492E-001, 7.8697865E-002,-2.6395424E-002,-7.4771184E-004, 0.0000000E+000, 0.0000000E+000, 8.4848818E+000, 5.2478907E+000,-4.3284109E+000, 4.9728000E-004,-3.6926905E-023
 4.9054152E-001, 1.9268812E+001, 0.0000000E+000,-1.1507347E+000, 3.0378963E-001,-3.2734049E-002,-7.5096249E-004, 0.0000000E+000, 0.0000000E+000, 5.3695246E+000, 1.8388382E+001,-4.7808888E+000, 5.5104000E-004,-2.8256530E-022
 5.3230900E-001, 1.3647729E+001, 0.0000000E+000,-2.3133576E+000, 1.7893527E-001,-5.6904260E-002,-1.0196610E-003, 0.0000000E+000, 0.0000000E+000, 1.8293939E+001, 1.1455383E+001,-5.2160560E+000, 5.9808000E-004,-6.3360526E-022
 5.7407653E-001, 1.9317702E+001, 0.0000000E+000,-3.5298560E+000, 2.5181628E-001,-6.6737476E-002,-9.3038050E-004, 0.0000000E+000, 0.0000000E+000, 1.1588691E+001, 1.5971994E+001,-5.5888954E+000, 6.4512000E-004,-2.0187465E-021
 6.1584401E-001, 1.9925783E+001, 0.0000000E+000,-5.6689697E+000, 2.2139545E-001,-8.1115493E-002,-1.0935860E-003, 0.0000000E+000, 0.0000000E+000, 1.6041584E+001, 1.4396000E+001,-5.9468718E+000, 6.9216000E-004,-8.8516731E-021
 6.5761155E-001, 2.3645182E+001, 0.0000000E+000,-7.8465047E+000, 2.4890393E-001,-8.7468359E-002,-1.0095990E-003, 0.0000000E+000, 0.0000000E+000, 1.4513201E+001, 1.5959103E+001,-6.2896840E+000, 7.3920000E-004,-3.3196561E-020
 6.9482607E-001, 2.4435901E+001, 0.0000000E+000,-9.4560103E+000, 2.3064723E-001,-9.4455466E-002,-1.1453435E-003, 0.0000000E+000, 0.0000000E+000, 1.6080366E+001, 1.5114937E+001,-6.6171562E+000, 7.7952000E-004,-1.5382802E-019
 7.3204058E-001, 2.3984691E+001, 0.0000000E+000,-1.0679853E+001, 2.0568174E-001,-9.5488643E-002,-1.2027317E-003, 0.0000000E+000, 0.0000000E+000, 1.5088144E+001, 1.3413828E+001,-6.8959529E+000, 8.1984000E-004,-1.5625685E-018
 7.6925516E-001, 2.2543031E+001, 0.0000000E+000,-9.0774361E+000, 2.0362259E-001,-9.5110178E-002,-1.2928105E-003, 0.0000000E+000, 0.0000000E+000, 1.3439451E+001, 1.3572815E+001,-7.1625540E+000, 8.6016000E-004,-5.4396427E-017
 8.0646968E-001, 2.1372499E+001, 0.0000000E+000,-8.1996561E+000, 1.9266510E-001,-9.4368898E-002,-1.2919762E-003, 0.0000000E+000, 0.0000000E+000, 1.3523083E+001, 1.3269847E+001,-7.4170522E+000, 9.0048000E-004,-1.5824717E-015
 8.4368420E-001, 1.9856649E+001, 0.0000000E+000,-7.2439179E+000, 1.7244276E-001,-9.7753318E-002,-1.3321822E-003, 0.0000000E+000, 0.0000000E+000, 1.3258771E+001, 1.2686089E+001,-7.6595870E+000, 9.4752000E-004,-8.7775345E-014
 8.8089877E-001, 2.1103496E+001, 0.0000000E+000,-6.4048499E+000, 2.0096213E-001,-1.0243791E-001,-1.4261514E-003, 0.0000000E+000, 0.0000000E+000, 1.2714354E+001, 1.4795744E+001,-7.8903648E+000, 9.8784000E-004,-2.7557095E-012
 9.1811329E-001, 1.9901436E+001, 0.0000000E+000,-6.2696178E+000, 1.6717800E-001,-1.1242235E-001,-1.4279132E-003, 0.0000000E+000, 0.0000000E+000, 1.4772927E+001, 1.3685146E+001,-8.1096267E+000, 1.0281600E-003,-3.0532040E-010
 9.5532781E-001, 2.4070314E+001, 0.0000000E+000,-6.3009578E+000, 2.2583239E-001,-1.1866975E-001,-1.4536040E-003, 0.0000000E+000, 0.0000000E+000, 1.3755597E+001, 1.7875066E+001,-8.3176435E+000, 1.0684800E-003,-2.0636427E-008
 9.9254239E-001, 2.5835996E+001, 0.0000000E+000,-6.8080671E+000,-3.6859597E-002,-1.3013419E-001,-1.3970486E-003, 0.0000000E+000, 0.0000000E+000, 1.7956742E+001, 1.8859538E+001,-8.5147245E+000, 1.1087947E-003,-6.1846760E-006
 1.0297569E+000, 3.0984114E+001, 0.0000000E+000,-8.3439286E+000,-1.0353709E+000,-1.3830674E-001,-1.4910287E-003, 0.0000000E+000, 0.0000000E+000, 1.8600391E+001, 2.1465017E+001,-8.7000012E+000, 1.1536489E-003,-3.4455574E-004
 1.0669714E+000, 3.2372433E+001, 0.0000000E+000,-1.0325630E+001,-2.8378874E+000,-1.4973058E-001,-1.5395047E-003, 0.0000000E+000, 0.0000000E+000, 2.0958960E+001, 1.9057646E+001,-8.8717744E+000, 1.1892892E-003,-1.3558486E-003
 1.1041859E+000, 3.7628975E+001, 0.0000000E+000,-1.2507873E+001,-5.3643923E+000,-1.5638156E-001,-1.6148388E-003, 0.0000000E+000, 0.0000000E+000, 1.8133548E+001, 1.9598713E+001,-9.0306896E+000, 1.2250748E-003,-2.9481984E-003
 1.1414006E+000, 3.7467908E+001, 0.0000000E+000,-1.4841051E+001,-8.6655523E+000,-1.6641914E-001,-1.9060294E-003, 0.0000000E+000, 0.0000000E+000, 1.8212072E+001, 1.3792979E+001,-9.1768622E+000, 1.2629817E-003,-5.1833925E-003
 1.1786151E+000, 3.8605606E+001, 0.0000000E+000,-1.5157932E+001,-1.1833779E+001,-1.7039128E-001,-1.9240218E-003, 0.0000000E+000, 0.0000000E+000, 1.2000767E+001, 1.1441579E+001,-9.3116357E+000, 1.3028086E-003,-7.4667128E-003
 1.2158296E+000, 3.6152032E+001, 0.0000000E+000,-1.3289472E+001,-1.4735718E+001,-1.7845926E-001,-1.9250764E-003, 0.0000000E+000, 0.0000000E+000, 9.7597483E+000, 7.9464578E+000,-9.4382285E+000, 1.3504702E-003,-9.4805383E-003
 1.2530441E+000, 3.4697552E+001, 0.0000000E+000,-1.2033516E+001,-1.7119254E+001,-1.8434134E-001,-1.8838584E-003, 0.0000000E+000, 0.0000000E+000, 6.4671694E+000, 5.3585566E+000,-9.5580118E+000, 1.3898030E-003,-1.0995190E-002
 1.2861575E+000, 3.0185641E+001, 0.0000000E+000,-1.0523555E+001,-1.9444655E+001,-1.9439163E-001,-1.9253882E-003, 0.0000000E+000, 0.0000000E+000, 3.9518651E+000, 2.1113905E-002,-9.6718396E+000, 1.4173800E-003,-1.2215357E-002
 1.3192710E+000, 3.3123529E+001, 0.0000000E+000,-9.3049920E+000,-2.1317374E+001,-1.9754584E-001,-1.9657565E-003, 0.0000000E+000, 0.0000000E+000,-1.1599212E+000, 2.3016520E+000,-9.7665584E+000, 1.4534175E-003,-1.3066379E-002
 1.3523843E+000, 3.0749359E+001, 0.0000000E+000,-8.7701165E+000,-2.3198084E+001,-2.1098217E-001,-1.9024524E-003, 0.0000000E+000, 0.0000000E+000, 1.2923354E+000,-1.4317265E+000,-9.8568250E+000, 1.4803669E-003,-1.3737909E-002
 1.3854977E+000, 3.5098462E+001, 0.0000000E+000,-8.5813669E+000,-2.3853399E+001,-2.1690209E-001,-1.9222817E-003, 0.0000000E+000, 0.0000000E+000,-2.1187801E+000, 2.4448718E+000,-9.9428610E+000, 1.5156359E-003,-1.3557787E-002
 1.4186112E+000, 3.6411691E+001, 0.0000000E+000,-9.1281236E+000,-2.3142095E+001,-2.2809595E-001,-1.8116298E-003, 0.0000000E+000, 0.0000000E+000, 2.5822704E+000, 3.9115644E+000,-1.0028114E+001, 1.5496869E-003,-1.2648251E-002
 1.4517245E+000, 4.1438011E+001, 0.0000000E+000,-1.0531569E+001,-2.1197955E+001,-2.3187844E-001,-2.0695128E-003, 0.0000000E+000, 0.0000000E+000, 4.8623509E+000, 9.4745391E+000,-1.0113503E+001, 1.5927975E-003,-1.1418460E-002
 1.4848379E+000, 4.2566735E+001, 0.0000000E+000,-1.2337385E+001,-1.9144771E+001,-2.3796528E-001,-2.1476842E-003, 0.0000000E+000, 0.0000000E+000, 1.0420745E+001, 1.0844466E+001,-1.0197975E+001, 1.6315516E-003,-1.0293020E-002
 1.5179514E+000, 4.7904684E+001, 0.0000000E+000,-1.3896607E+001,-1.7420226E+001,-2.4024798E-001,-2.2364887E-003, 0.0000000E+000, 0.0000000E+000, 1.1922516E+001, 1.6345367E+001,-1.0278279E+001, 1.6772025E-003,-9.5049611E-003
 1.5510647E+000, 4.8951787E+001, 0.0000000E+000,-1.5867210E+001,-1.6262347E+001,-2.4759030E-001,-2.6710885E-003, 0.0000000E+000, 0.0000000E+000, 1.7420595E+001, 1.6571969E+001,-1.0352756E+001, 1.7225206E-003,-9.0012923E-003
