s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005,-4.4408921E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0005434E-002, 0.0000000E+000, 0.0000000E+000,-2.2966302E-007, 1.0162200E-004, 0.0000000E+000,-1.8228545E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0893113E-005, 0.0000000E+000, 6.7200000E-005, 0.0000000E+000
 1.0814542E-001, 8.1739611E-001, 0.0000000E+000,-2.9894360E-006, 1.4637565E-002,-1.2276691E-005,-3.0769262E-004, 0.0000000E+000, 0.0000000E+000, 2.8013678E-002, 8.3171072E-001,-1.7190185E+000, 1.2096000E-004, 0.0000000E+000
 1.4724503E-001, 8.6656056E-001, 0.0000000E+000,-3.1361584E-002, 1.1658190E-002,-7.2946890E-004,-4.1544529E-004, 0.0000000E+000, 0.0000000E+000, 8.5818738E-001, 8.4571225E-001,-3.0897984E+000, 1.6800000E-004, 0.0000000E+000
 1.8634465E-001, 3.6769478E+000, 0.0000000E+000,-7.5184030E-002, 6.5660591E-002,-1.7770003E-003,-5.0325520E-004, 0.0000000E+000, 0.0000000E+000, 8.7972744E-001, 3.6651441E+000,-4.1930303E+000, 2.0832000E-004, 0.0000000E+000
 2.1728896E-001, 2.4813925E+000, 0.0000000E+000,-1.4450875E-001, 3.2132594E-002,-5.6585737E-003,-6.1994026E-004, 0.0000000E+000, 0.0000000E+000, 3.6768474E+000, 2.3627378E+000,-5.2837262E+000, 2.4192000E-004, 0.0000000E+000
 2.4823324E-001, 1.0040938E+001, 0.0000000E+000,-2.6557141E-001, 1.6592477E-001,-8.5846616E-003,-6.8226777E-004, 0.0000000E+000, 0.0000000E+000, 2.4236221E+000, 9.9320245E+000,-6.1360173E+000, 2.7552000E-004,-1.1759317E-025
 2.7587634E-001, 7.1346292E+000, 0.0000000E+000,-4.4831578E-001, 1.0182289E-001,-2.0358534E-002,-8.8700955E-004, 0.0000000E+000, 0.0000000E+000, 9.9469146E+000, 6.7668907E+000,-6.9771005E+000, 3.0912000E-004,-3.5457834E-024
 3.0351943E-001, 1.1525518E+001, 0.0000000E+000,-6.4714075E-001, 1.7505199E-001,-2.9035907E-002,-8.8131576E-004, 0.0000000E+000, 0.0000000E+000, 6.8478032E+000, 1.1023512E+001,-7.7178681E+000, 3.4272000E-004,-9.9849624E-023
