s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 2.2204460E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5603596E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.1611825E-002, 0.0000000E+000, 0.0000000E+000,-4.2765936E-007, 2.3246567E-004, 0.0000000E+000,-1.6728596E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4752050E-005, 0.0000000E+000, 1.0080000E-004, 0.0000000E+000
 1.8322365E-001, 1.5293433E+000, 0.0000000E+000,-8.9558082E-006, 2.6830907E-002,-1.2625368E-005,-3.0892079E-004, 0.0000000E+000, 0.0000000E+000, 4.5859320E-002, 1.5558437E+000,-1.5721753E+000, 2.0832000E-004, 0.0000000E+000
 2.5406289E-001, 1.7121201E+000, 0.0000000E+000,-4.3472553E-002, 2.5794538E-002,-8.9147313E-004,-3.9129065E-004, 0.0000000E+000, 0.0000000E+000, 1.5995349E+000, 1.6931594E+000,-3.1183225E+000, 2.8224000E-004, 0.0000000E+000
 3.1705695E-001, 6.2585135E+000, 0.0000000E+000,-1.3493099E-001, 1.0508411E-001,-2.0273348E-003,-4.7823322E-004, 0.0000000E+000, 0.0000000E+000, 1.7541541E+000, 6.2261611E+000,-4.2805202E+000, 3.5616000E-004, 0.0000000E+000
 3.8005099E-001, 4.4848910E+000, 0.0000000E+000,-2.6173369E-001, 6.4993555E-002,-6.9177224E-003,-6.2261598E-004, 0.0000000E+000, 0.0000000E+000, 6.2405783E+000, 4.2806105E+000,-5.2805338E+000, 4.2336000E-004, 0.0000000E+000
 4.3271735E-001, 1.1350783E+001, 0.0000000E+000,-5.2554041E-001, 1.7986809E-001,-9.7260231E-003,-5.7488627E-004, 0.0000000E+000, 0.0000000E+000, 4.3718292E+000, 1.0994809E+001,-6.2426685E+000, 4.8384000E-004, 0.0000000E+000
 4.8538369E-001, 9.2091882E+000, 0.0000000E+000,-9.2224771E-001, 1.2870725E-001,-1.8648059E-002,-8.0720858E-004, 0.0000000E+000, 0.0000000E+000, 1.1047441E+001, 8.3961925E+000,-7.0142896E+000, 5.4432000E-004, 0.0000000E+000
 5.3805006E-001, 2.0070704E+001, 0.0000000E+000,-1.6506099E+000, 3.0086988E-001,-2.4319577E-002,-8.1108098E-004, 0.0000000E+000, 0.0000000E+000, 8.5604226E+000, 1.8695834E+001,-7.7535071E+000, 6.0480000E-004, 0.0000000E+000
