s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 1.6653345E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8563096E-002, 0.0000000E+000, 0.0000000E+000,-3.4243025E-007, 2.5024213E-004, 0.0000000E+000,-7.9691269E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7020843E-004, 0.0000000E+000, 7.3920000E-005, 0.0000000E+000
 1.1499348E-001, 6.9947738E-001, 0.0000000E+000,-4.8958195E-006, 1.1976166E-002,-1.2498802E-005,-1.2660586E-004, 0.0000000E+000, 0.0000000E+000, 4.8418132E-002, 7.1130955E-001,-2.5328596E+000, 1.2768000E-004, 0.0000000E+000
 1.5665850E-001, 9.4053120E-001, 0.0000000E+000,-2.2850371E-002, 1.3503525E-002,-4.7967358E-004,-1.6815438E-004, 0.0000000E+000, 0.0000000E+000, 7.6845143E-001, 9.3053653E-001,-4.2360881E+000, 1.7472000E-004, 0.0000000E+000
 1.9316497E-001, 2.3116967E+000, 0.0000000E+000,-5.2567605E-002, 3.5865383E-002,-1.2483794E-003,-2.0156509E-004, 0.0000000E+000, 0.0000000E+000, 9.9720234E-001, 2.2935446E+000,-5.7493834E+000, 2.1504000E-004, 0.0000000E+000
 2.2967146E-001, 2.1768539E+000, 0.0000000E+000,-1.1062137E-001, 2.6331437E-002,-3.2699455E-003,-2.4546058E-004, 0.0000000E+000, 0.0000000E+000, 2.3663096E+000, 2.0890486E+000,-7.0594839E+000, 2.5536000E-004, 0.0000000E+000
 2.6000836E-001, 5.5384637E+000, 0.0000000E+000,-1.8167618E-001, 8.6819258E-002,-5.1236505E-003,-2.6780187E-004, 0.0000000E+000, 0.0000000E+000, 2.1761177E+000, 5.4382153E+000,-8.3514657E+000, 2.8896000E-004, 0.0000000E+000
 2.9034528E-001, 3.0085432E+000, 0.0000000E+000,-2.7767487E-001, 3.2148067E-002,-1.0046367E-002,-3.2820643E-004, 0.0000000E+000, 0.0000000E+000, 5.4863453E+000, 2.7526419E+000,-9.4091646E+000, 3.2256000E-004, 0.0000000E+000
 3.2068220E-001, 9.1320350E+000, 0.0000000E+000,-4.3014084E-001, 1.3477042E-001,-1.2905051E-002,-3.3679971E-004, 0.0000000E+000, 0.0000000E+000, 2.8707425E+000, 8.8234227E+000,-1.0450672E+001, 3.5616000E-004, 0.0000000E+000
 3.4685194E-001, 7.4504382E+000, 0.0000000E+000,-6.4095957E-001, 9.4290780E-002,-2.1268136E-002,-4.2188977E-004, 0.0000000E+000, 0.0000000E+000, 8.9085386E+000, 6.8820794E+000,-1.1474485E+001, 3.8976000E-004,-1.0242857E-028
 3.7302172E-001, 9.9155288E+000, 0.0000000E+000,-8.5865287E-001, 1.3187252E-001,-2.7671234E-002,-4.0619904E-004, 0.0000000E+000, 0.0000000E+000, 7.0068134E+000, 9.1606710E+000,-1.2342384E+001, 4.1664000E-004,-1.2909971E-026
