s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005,-4.4408921E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5772101E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9095337E-002, 0.0000000E+000, 0.0000000E+000,-2.2966302E-007,-1.4680486E-004, 0.0000000E+000,-1.1796904E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6500356E-004, 0.0000000E+000, 1.1424000E-004, 0.0000000E+000
 1.8454914E-001, 1.8153944E+000, 0.0000000E+000,-2.7327284E-006, 3.2385315E-002,-6.5328920E-006,-1.8965605E-004, 0.0000000E+000, 0.0000000E+000, 1.4062054E-002, 1.8475808E+000,-1.0198779E+000, 2.0832000E-004, 0.0000000E+000
 2.5032043E-001, 1.5109822E+000, 0.0000000E+000,-3.7076746E-002, 2.1714116E-002,-1.7723458E-003,-2.5991874E-004, 0.0000000E+000, 0.0000000E+000, 1.8473050E+000, 1.4935873E+000,-1.8842274E+000, 2.8224000E-004, 0.0000000E+000
 3.0924481E-001, 7.6170380E+000, 0.0000000E+000,-1.3104070E-001, 1.2819987E-001,-3.7438840E-003,-3.0265638E-004, 0.0000000E+000, 0.0000000E+000, 1.5152349E+000, 7.6101506E+000,-2.5320268E+000, 3.4944000E-004, 0.0000000E+000
 3.6816919E-001, 5.0238269E+000, 0.0000000E+000,-3.3228526E-001, 7.3706433E-002,-1.3751219E-002,-4.2848369E-004, 0.0000000E+000, 0.0000000E+000, 7.6093138E+000, 4.7510684E+000,-3.0950770E+000, 4.0992000E-004, 0.0000000E+000
 4.1780820E-001, 1.1464776E+001, 0.0000000E+000,-5.7757700E-001, 1.8184911E-001,-2.0414490E-002,-4.1824536E-004, 0.0000000E+000, 0.0000000E+000, 4.7939732E+000, 1.1048216E+001,-3.6386039E+000, 4.7040000E-004,-2.1304409E-026
 4.6744722E-001, 9.5876513E+000, 0.0000000E+000,-1.0586055E+000, 1.3532546E-001,-3.5315496E-002,-5.2754748E-004, 0.0000000E+000, 0.0000000E+000, 1.1041383E+001, 8.6285282E+000,-4.0794298E+000, 5.2416000E-004,-5.0828763E-023
 5.1708627E-001, 2.2892643E+001, 0.0000000E+000,-1.8101455E+000, 3.4778276E-001,-4.4982505E-002,-5.4744586E-004, 0.0000000E+000, 0.0000000E+000, 8.7967900E+000, 2.1384750E+001,-4.5033106E+000, 5.7792000E-004,-3.8613374E-022
 5.6152600E-001, 1.7690761E+001, 0.0000000E+000,-4.5548471E+000, 2.0935521E-001,-7.1886982E-002,-6.8253650E-004, 0.0000000E+000, 0.0000000E+000, 2.1261747E+001, 1.3272700E+001,-4.9092405E+000, 6.3168000E-004,-7.1359507E-022
 6.0596579E-001, 2.2712012E+001, 0.0000000E+000,-6.4132094E+000, 2.5769348E-001,-8.0664245E-002,-6.3000118E-004, 0.0000000E+000, 0.0000000E+000, 1.3448726E+001, 1.6475202E+001,-5.2568016E+000, 6.7872000E-004,-2.0618606E-021
 6.5040559E-001, 2.3136614E+001, 0.0000000E+000,-9.1915451E+000, 2.1897126E-001,-9.1180191E-002,-7.1124402E-004, 0.0000000E+000, 0.0000000E+000, 1.6520772E+001, 1.4072148E+001,-5.5889906E+000, 7.2576000E-004,-8.4826561E-021
 6.9484532E-001, 2.5492510E+001, 0.0000000E+000,-1.0815202E+001, 2.2910878E-001,-9.2097813E-002,-7.7761113E-004, 0.0000000E+000, 0.0000000E+000, 1.4220617E+001, 1.4813542E+001,-5.9055828E+000, 7.7952000E-004,-3.2907169E-020
 7.3457366E-001, 2.5970303E+001, 0.0000000E+000,-1.2046138E+001, 2.1717593E-001,-9.5157693E-002,-8.5600929E-004, 0.0000000E+000, 0.0000000E+000, 1.4831088E+001, 1.4045327E+001,-6.2064892E+000, 8.1984000E-004,-2.6934388E-019
 7.7430201E-001, 2.6092111E+001, 0.0000000E+000,-1.0806390E+001, 2.3553384E-001,-9.3673622E-002,-9.1367591E-004, 0.0000000E+000, 0.0000000E+000, 1.4080996E+001, 1.5426667E+001,-6.4622347E+000, 8.6688000E-004,-3.7657924E-018
 8.1403035E-001, 2.4314587E+001, 0.0000000E+000,-9.3780201E+000, 2.2394861E-001,-9.4198119E-002,-9.4969675E-004, 0.0000000E+000, 0.0000000E+000, 1.5379721E+001, 1.5065368E+001,-6.7055752E+000, 9.1392000E-004,-1.5526622E-016
 8.5375869E-001, 2.3936143E+001, 0.0000000E+000,-8.5266126E+000, 2.2211995E-001,-9.5490454E-002,-9.6046637E-004, 0.0000000E+000, 0.0000000E+000, 1.5065979E+001, 1.5535200E+001,-6.9366791E+000, 9.5424000E-004,-3.6559269E-015
 8.9348704E-001, 2.3593880E+001, 0.0000000E+000,-7.8310077E+000, 2.1703766E-001,-1.0173314E-001,-9.7614579E-004, 0.0000000E+000, 0.0000000E+000, 1.5536692E+001, 1.5877201E+001,-7.1557616E+000, 1.0012800E-003,-2.4597845E-013
 9.3321538E-001, 2.5079878E+001, 0.0000000E+000,-7.2967043E+000, 2.3805542E-001,-1.1034431E-001,-1.0251212E-003, 0.0000000E+000, 0.0000000E+000, 1.5907760E+001, 1.7909860E+001,-7.3631060E+000, 1.0483200E-003,-1.7499856E-011
 9.7294372E-001, 2.9190630E+001, 0.0000000E+000,-7.7099339E+000, 2.8628813E-001,-1.2151620E-001,-9.7381982E-004, 0.0000000E+000, 0.0000000E+000, 1.7990830E+001, 2.1644495E+001,-7.5590282E+000, 1.0886400E-003,-4.9785655E-010
 1.0126721E+000, 3.0387013E+001, 0.0000000E+000,-8.6696303E+000, 2.6946498E-001,-1.3619658E-001,-9.3229099E-004, 0.0000000E+000, 0.0000000E+000, 2.1729428E+001, 2.1849719E+001,-7.7438690E+000, 1.1356800E-003,-6.7640334E-008
 1.0524005E+000, 3.5713750E+001, 0.0000000E+000,-1.0707811E+001,-9.8726982E-002,-1.4732381E-001,-1.0232395E-003, 0.0000000E+000, 0.0000000E+000, 2.1913147E+001, 2.4758866E+001,-7.9179723E+000, 1.1759438E-003,-4.0249107E-005
 1.0921288E+000, 3.8282425E+001, 0.0000000E+000,-1.3742178E+001,-1.3020805E+000,-1.5859263E-001,-1.1672499E-003, 0.0000000E+000, 0.0000000E+000, 2.4639977E+001, 2.3078407E+001,-8.0800671E+000, 1.2214308E-003,-4.5157332E-004
 1.1318572E+000, 4.0929718E+001, 0.0000000E+000,-1.6794733E+001,-3.4250018E+000,-1.6340268E-001,-1.1168565E-003, 0.0000000E+000, 0.0000000E+000, 2.2386311E+001, 2.0545463E+001,-8.2289456E+000, 1.2648582E-003,-1.6382570E-003
