s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886213E-004,-7.9162690E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7886293E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 2.0612660E-001, 3.5860242E+001, 0.0000000E+000,-2.8719627E-005,-2.3712197E-002,-1.4128204E-005,-1.2637200E-003, 7.2877180E+000, 0.0000000E+000, 1.0461091E-001, 4.3122941E+001, 0.0000000E+000, 3.0336691E-003, 0.0000000E+000, 2.8336797E-001
 2.4132574E-001, 1.1733752E+002, 0.0000000E+000,-5.2313796E-001,-2.8400144E-002,-1.0780977E-001,-1.0543015E-002, 3.6117787E+001, 0.0000000E+000, 9.8407839E+001, 1.5278542E+002, 0.0000000E+000, 4.6948830E-003, 0.0000000E+000, 3.5655529E+001
 3.6135480E-001, 1.3853031E+002, 0.0000000E+000,-6.7758041E+001,-4.0325321E-002,-9.8050613E-001,-1.0926193E-002, 3.0959439E+001, 0.0000000E+000, 1.4614915E+002, 1.0069995E+002, 0.0000000E+000, 6.1563796E-003, 0.0000000E+000, 2.0233078E+002
 4.9243876E-001, 7.1659411E+001, 0.0000000E+000,-4.0903976E+001,-5.6482416E-002,-1.2565190E+000,-1.3200566E-002, 7.7391972E+000, 0.0000000E+000, 2.2443853E+001, 3.7168430E+001, 0.0000000E+000, 8.3419465E-003, 0.0000000E+000, 2.3069695E+002
 6.0833210E-001, 1.2800642E+002, 0.0000000E+000,-5.7108393E+001,-7.1181393E-002,-1.3800478E+000,-1.4614038E-002, 2.1226649E+001, 0.0000000E+000, 7.4395886E+001, 9.0658835E+001, 0.0000000E+000, 1.0145048E-002, 0.0000000E+000, 3.0949813E+002
 7.2721314E-001, 2.3058064E+002, 0.0000000E+000,-1.0811166E+002,-7.9041373E-002,-1.8302980E+000,-1.8382933E-002, 4.1277064E+001, 0.0000000E+000, 1.5337426E+002, 1.6181833E+002, 0.0000000E+000, 1.1675650E-002, 0.0000000E+000, 4.8149625E+002
 8.4689867E-001, 3.6221190E+002, 0.0000000E+000,-1.5973753E+002,-8.8867338E-002,-2.5079639E+000,-2.0430091E-002, 6.9395019E+001, 0.0000000E+000, 2.5239687E+002, 2.6925213E+002, 0.0000000E+000, 1.3089758E-002, 0.0000000E+000, 7.7171786E+002
 9.6990800E-001, 5.1935446E+002, 0.0000000E+000,-2.2261865E+002,-9.7185008E-002,-3.7103767E+000,-1.9833322E-002, 1.0431620E+002, 0.0000000E+000, 3.9066368E+002, 3.9722462E+002, 0.0000000E+000, 1.4330204E-002, 0.0000000E+000, 1.2316429E+003
 1.0853306E+000, 6.1826407E+002, 0.0000000E+000,-2.4994111E+002,-1.0668734E-001,-5.2417090E+000,-1.9279451E-002, 1.3250853E+002, 0.0000000E+000, 4.8958216E+002, 4.9546382E+002, 0.0000000E+000, 1.5354924E-002, 0.0000000E+000, 1.7815632E+003
 1.2028087E+000, 5.8054757E+002, 0.0000000E+000,-2.1404396E+002,-1.1530884E-001,-7.1077031E+000,-2.2141799E-002, 1.3449899E+002, 0.0000000E+000, 4.9495777E+002, 4.9375745E+002, 0.0000000E+000, 1.6197321E-002, 0.0000000E+000, 2.3542841E+003
 1.3209479E+000, 5.4994213E+002, 0.0000000E+000,-1.9525560E+002,-1.1812724E-001,-9.5178210E+000,-2.3974832E-002, 1.2770742E+002, 0.0000000E+000, 4.7435485E+002, 4.7273403E+002, 0.0000000E+000, 1.6903540E-002, 0.0000000E+000, 2.9014021E+003
 1.4467051E+000, 6.0320127E+002, 0.0000000E+000,-1.8612268E+002,-1.2356701E-001,-1.2278867E+001,-2.5803975E-002, 1.4821737E+002, 0.0000000E+000, 5.4184522E+002, 5.5286772E+002, 0.0000000E+000, 1.7497198E-002, 0.0000000E+000, 3.5688942E+003
 1.5656276E+000, 6.7481624E+002, 0.0000000E+000,-1.9835945E+002,-1.1900351E-001,-1.6174263E+001,-2.4069763E-002, 1.8010716E+002, 0.0000000E+000, 6.4368586E+002, 6.4024661E+002, 0.0000000E+000, 1.7979679E-002, 0.0000000E+000, 4.3447573E+003
 1.6849482E+000, 6.6053386E+002, 0.0000000E+000,-1.8492801E+002,-1.2636973E-001,-2.2634160E+001,-2.2317707E-002, 1.7259684E+002, 0.0000000E+000, 6.2743293E+002, 6.2541984E+002, 0.0000000E+000, 1.8356994E-002, 0.0000000E+000, 5.0924090E+003
