s,C
Time,"TC_Door_Top"
 0.0000000E+000, 2.0000000E+001
 2.0612660E-001, 2.0000308E+001
 2.6110398E-001, 2.0056916E+001
 3.6595633E-001, 2.0167186E+001
 5.0551480E-001, 2.0194813E+001
 6.0343290E-001, 2.0218611E+001
 7.2691394E-001, 2.0301308E+001
 8.4386038E-001, 2.0470949E+001
 9.7169665E-001, 2.0783420E+001
 1.0812643E+000, 2.1272121E+001
 1.2079443E+000, 2.1935553E+001
 1.3271049E+000, 2.2675319E+001
 1.4418368E+000, 2.3372337E+001
 1.5664520E+000, 2.4116887E+001
 1.6832786E+000, 2.4887956E+001
 1.8015845E+000, 2.5427741E+001
 1.9207694E+000, 2.6022979E+001
 2.0460068E+000, 2.6966409E+001
 2.1624776E+000, 2.7706220E+001
 2.2862390E+000, 2.8435462E+001
 2.4025782E+000, 2.9170898E+001
 2.5268950E+000, 2.9812283E+001
 2.6438991E+000, 3.8762942E+001
 2.7607547E+000, 8.3938460E+001
 2.8859907E+000, 6.7413900E+001
 3.0000178E+000, 6.4380515E+001
 3.1238736E+000, 1.3568491E+002
 3.2461713E+000, 1.9641540E+002
 3.3658943E+000, 1.8206974E+002
 3.4817757E+000, 1.6172900E+002
 3.6054667E+000, 1.9316013E+002
 3.7243780E+000, 2.6898623E+002
 3.8417435E+000, 3.4600659E+002
 3.9602878E+000, 3.9710409E+002
 4.0809958E+000, 4.5231466E+002
 4.2032711E+000, 5.7195506E+002
 4.3236037E+000, 5.8424433E+002
 4.4456554E+000, 5.1455829E+002
 4.5643435E+000, 4.7934767E+002
 4.6818557E+000, 3.9916866E+002
 4.8054522E+000, 3.8815587E+002
 4.9250375E+000, 3.9133526E+002
 5.0416533E+000, 4.2363295E+002
 5.1666326E+000, 4.1415086E+002
 5.2841837E+000, 4.5261439E+002
 5.4006328E+000, 4.8652031E+002
 5.5214780E+000, 4.4991115E+002
 5.6444152E+000, 4.6969823E+002
 5.7659864E+000, 5.5102876E+002
 5.8813504E+000, 5.9886171E+002
 6.0071356E+000, 5.8589759E+002
 6.1210823E+000, 5.5793127E+002
 6.2432642E+000, 5.2657392E+002
 6.3657984E+000, 5.1896850E+002
 6.4833187E+000, 5.2753852E+002
 6.6035719E+000, 5.4475863E+002
 6.7206610E+000, 5.8660330E+002
 6.8411581E+000, 5.8099920E+002
 6.9657388E+000, 5.7472536E+002
 7.0872400E+000, 5.7326887E+002
 7.2036256E+000, 5.8338455E+002
 7.3201964E+000, 5.9365138E+002
 7.4473180E+000, 5.8219694E+002
 7.5630322E+000, 5.6777441E+002
 7.6853587E+000, 5.6978718E+002
 7.8035525E+000, 5.6947140E+002
 7.9245797E+000, 6.4825974E+002
 8.0461305E+000, 6.4728731E+002
 8.1651685E+000, 6.3442718E+002
 8.2863273E+000, 6.4206513E+002
 8.4050210E+000, 6.4756294E+002
 8.5228672E+000, 6.2299697E+002
 8.6455833E+000, 5.9141907E+002
 8.7645333E+000, 5.6393206E+002
 8.8814773E+000, 5.6446830E+002
 9.0069997E+000, 5.4990660E+002
 9.1236200E+000, 5.4000501E+002
 9.2449681E+000, 5.2573643E+002
 9.3663162E+000, 5.1503628E+002
 9.4876644E+000, 5.2256361E+002
 9.6000583E+000, 5.4076103E+002
 9.7263728E+000, 5.4391642E+002
 9.8421610E+000, 5.4658194E+002
 9.9687011E+000, 5.4782778E+002
 1.0080796E+001, 5.7884766E+002
 1.0207664E+001, 6.3481244E+002
 1.0323294E+001, 6.1198633E+002
 1.0441923E+001, 5.9320406E+002
 1.0565747E+001, 5.7371954E+002
 1.0681666E+001, 5.7497314E+002
 1.0807035E+001, 6.0193640E+002
 1.0921694E+001, 6.1513175E+002
