,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-04T13:52:12.389+01:00, 0.103E+00,   0.10306, 0.24587E+01
       2,2026-02-04T13:52:12.468+01:00, 0.103E+00,   0.20613, 0.25349E+01
       3,2026-02-04T13:52:12.581+01:00, 0.103E+00,   0.30919, 0.26386E+01
       4,2026-02-04T13:52:12.672+01:00, 0.482E-01,   0.35740, 0.27298E+01
       5,2026-02-04T13:52:12.761+01:00, 0.374E-01,   0.39482, 0.28181E+01
       6,2026-02-04T13:52:12.846+01:00, 0.374E-01,   0.43223, 0.29023E+01
       7,2026-02-04T13:52:12.917+01:00, 0.412E-01,   0.47339, 0.29718E+01
       8,2026-02-04T13:52:13.008+01:00, 0.336E-01,   0.50696, 0.30627E+01
       9,2026-02-04T13:52:13.093+01:00, 0.336E-01,   0.54054, 0.31465E+01
      10,2026-02-04T13:52:13.190+01:00, 0.294E-01,   0.56990, 0.32418E+01
      20,2026-02-04T13:52:13.971+01:00, 0.137E-01,   0.76267, 0.40193E+01
      30,2026-02-04T13:52:14.684+01:00, 0.100E-01,   0.88426, 0.47317E+01
      40,2026-02-04T13:52:15.343+01:00, 0.100E-01,   0.98423, 0.53910E+01
      50,2026-02-04T13:52:16.002+01:00, 0.854E-02,   1.07402, 0.60494E+01
      60,2026-02-04T13:52:16.668+01:00, 0.854E-02,   1.15943, 0.67149E+01
      70,2026-02-04T13:52:17.354+01:00, 0.882E-02,   1.24697, 0.74010E+01
      80,2026-02-04T13:52:18.085+01:00, 0.751E-02,   1.32863, 0.81301E+01
      90,2026-02-04T13:52:18.834+01:00, 0.657E-02,   1.39903, 0.88724E+01
     100,2026-02-04T13:52:19.636+01:00, 0.722E-02,   1.46535, 0.96042E+01
     200,2026-02-04T13:52:26.389+01:00, 0.820E-02,   2.17663, 0.16332E+02
     300,2026-02-04T13:52:32.915+01:00, 0.722E-02,   2.92465, 0.22844E+02
     400,2026-02-04T13:52:39.395+01:00, 0.711E-02,   3.69593, 0.29321E+02
     500,2026-02-04T13:52:45.990+01:00, 0.691E-02,   4.40593, 0.35911E+02
     600,2026-02-04T13:52:52.458+01:00, 0.877E-02,   5.16031, 0.42371E+02
     700,2026-02-04T13:52:59.092+01:00, 0.697E-02,   5.90873, 0.48988E+02
     800,2026-02-04T13:53:05.847+01:00, 0.828E-02,   6.66609, 0.55719E+02
     900,2026-02-04T13:53:12.877+01:00, 0.764E-02,   7.42948, 0.62621E+02
    1000,2026-02-04T13:53:19.558+01:00, 0.871E-02,   8.18830, 0.69285E+02
    1100,2026-02-04T13:53:26.605+01:00, 0.646E-02,   8.94409, 0.76267E+02
    1200,2026-02-04T13:53:34.202+01:00, 0.782E-02,   9.72242, 0.83824E+02
    1300,2026-02-04T13:53:40.879+01:00, 0.855E-02,  10.49724, 0.90496E+02
    1400,2026-02-04T13:53:47.519+01:00, 0.782E-02,  11.34444, 0.97128E+02
    1500,2026-02-04T13:53:54.476+01:00, 0.832E-02,  12.16014, 0.10403E+03
    1600,2026-02-04T13:54:01.715+01:00, 0.820E-02,  12.97455, 0.11124E+03
