,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-03T13:30:14.036+01:00, 0.103E+00,   0.10306, 0.20969E+01
       2,2026-02-03T13:30:14.098+01:00, 0.103E+00,   0.20613, 0.21577E+01
       3,2026-02-03T13:30:14.173+01:00, 0.103E+00,   0.30919, 0.22330E+01
       4,2026-02-03T13:30:14.250+01:00, 0.468E-01,   0.35601, 0.23102E+01
       5,2026-02-03T13:30:14.331+01:00, 0.367E-01,   0.39268, 0.23910E+01
       6,2026-02-03T13:30:14.409+01:00, 0.367E-01,   0.42935, 0.24679E+01
       7,2026-02-03T13:30:14.466+01:00, 0.403E-01,   0.46969, 0.25255E+01
       8,2026-02-03T13:30:14.547+01:00, 0.338E-01,   0.50349, 0.26062E+01
       9,2026-02-03T13:30:14.617+01:00, 0.338E-01,   0.53728, 0.26757E+01
      10,2026-02-03T13:30:14.698+01:00, 0.294E-01,   0.56671, 0.27569E+01
      20,2026-02-03T13:30:15.351+01:00, 0.145E-01,   0.76078, 0.34092E+01
      30,2026-02-03T13:30:15.998+01:00, 0.101E-01,   0.88301, 0.40559E+01
      40,2026-02-03T13:30:16.619+01:00, 0.101E-01,   0.98385, 0.46749E+01
      50,2026-02-03T13:30:17.224+01:00, 0.881E-02,   1.07325, 0.52780E+01
      60,2026-02-03T13:30:17.864+01:00, 0.881E-02,   1.16138, 0.59178E+01
      70,2026-02-03T13:30:18.510+01:00, 0.899E-02,   1.25059, 0.65624E+01
      80,2026-02-03T13:30:19.175+01:00, 0.774E-02,   1.33157, 0.72267E+01
      90,2026-02-03T13:30:19.916+01:00, 0.664E-02,   1.40023, 0.79541E+01
     100,2026-02-03T13:30:20.550+01:00, 0.731E-02,   1.46799, 0.85875E+01
     200,2026-02-03T13:30:26.806+01:00, 0.752E-02,   2.17574, 0.14840E+02
     300,2026-02-03T13:30:33.707+01:00, 0.649E-02,   2.92657, 0.21708E+02
     400,2026-02-03T13:30:40.411+01:00, 0.809E-02,   3.68189, 0.28393E+02
     500,2026-02-03T13:30:47.170+01:00, 0.701E-02,   4.40606, 0.35134E+02
     600,2026-02-03T13:30:53.783+01:00, 0.867E-02,   5.13564, 0.41688E+02
